Category,Count
Habilidades,20
Conceptos Computacionales,11
Actitudes,7
Propiedades Psicométricas,2
Herramienta de Evaluación,3
Diseño de Investigación,4
Nivel de Escolaridad,0
Medio,9
Estrategia,10
Herramienta,11
