Variable,Frecuencia
Abstracción,8
Algoritmo,5
Pensamiento Algorítmico,1
Codificación,9
Colaboración,1
Creatividad,11
Pensamiento Crítico,2
Depuración,1
Descomposición,2
Evaluación,3
Generalización,2
Lógica,3
Modularidad,1
Reconocimiento de Patrones,0
Resolución de Problemas,2
Programación,18
Representación,2
Reutilización,0
Simulación,0
