Journal,Cantidad
Computers & Education,296
Nature Communications,276
Science Advances,265
IEEE Transactions on Software Engineering,259
ACM Transactions on Graphics,255
Journal of Computer Science,251
PLOS ONE,248
Journal of Machine Learning Research,243
