source,Authors,Cantidad
ACM,"Chiazzese, Giuseppe and Fulantelli, Giovanni and Pipitone, Vito and Taibi, Davide",1
ACM,"Chiprianov, Vanea and Gallon, Laurent",1
ACM,"Choi, Wan Chong",1
ACM,"Choi, Wan Chong and Chang, Chi In",1
ACM,"Choi, Wan Chong and Choi, Iek Chong",1
ACM,"Chowdhury, Bushra",1
ACM,"Chowdhury, Bushra and Bart, Austin Cory and Kafura, Dennis",1
ACM,"Chung, Cheng-Yu and Hsiao, I-Han",1
ACM,"Coenraad, Merijke and Cabrera, Lautaro and Killen, Heather and Plane, Jan and Ketelhut, Diane Jass",1
ACM,"Coenraad, Merijke and Rangel, Alessandra and Burke, Quinn and Mills, Kelly and Ruiz, Pati and Dunbar, Kyle",1
ACM,"Cole, Elizabeth C.",1
ACM,"Collado-S\'{a}nchez, Mar\'{\i}a and Garc\'{\i}a-Pe\~{n}alvo, Francisco Jos\'{e} and Pinto-Llorente, Ana Mar\'{\i}a",1
ACM,"Conde, Miguel \'{A}. and Fern\'{a}ndez, Camino and Alves, Jonny and Ramos, Mar\'{\i}a-Jo\~{a}o and Celis-Tena, Susana and Gon\c{c}alves, Jos\'{e} and Lima, Jos\'{e} and Reimann, Daniela and Jormanainen, Ilkka and Pe\~{n}alvo, Francisco J. Garc\'{\i}a",1
ACM,"Conde, Miguel \'{A}. and Fern\'{a}ndez-Llamas, Camino and Rodr\'{\i}guez-Sedano, Francisco J. and Guerrero-Higueras, \'{A}ngel M. and Matell\'{a}n-Olivera, Vicente and Garc\'{\i}a-Pe\~{n}alvo, Francisco J.",1
ACM,"Corradini, Isabella and Lodi, Michael and Nardelli, Enrico",2
ACM,"Curzon, Paul",1
ACM,"Curzon, Paul and McOwan, Peter W. and Plant, Nicola and Meagher, Laura R.",1
ACM,"Cutts, Quintin and Donaldson, Peter and Cole, Elizabeth and Alshaigy, Bedour and Gutica, Mirela and Hellas, Arto and Larraza-Mendiluze, Edurne and McCartney, Robert and Patitsas, Elizabeth and Riedesel, Charles",1
ACM,"Dasgupta, Sayamindu and Hale, William and Monroy-Hern\'{a}ndez, Andr\'{e}s and Hill, Benjamin Mako",1
ACM,"Davis, Kylie and Shneyer, Elana",1
ACM,"De Jong, Imke and Jeuring, Johan",1
ACM,"De Jong, Imke and Sichterman, Bo and Jeuring, Johan",1
ACM,"DePryck, Koen",1
ACM,"Dengel, Andreas and Heuer, Ute",1
ACM,"Denning, Peter J.",1
ACM,"Denning, Peter J. and Tedre, Matti",1
ACM,"Dietz, Griffin and Le, Jimmy K and Tamer, Nadin and Han, Jenny and Gweon, Hyowon and Murnane, Elizabeth L and Landay, James A.",1
ACM,"Dodero, Juan Manuel and Mota, Jos\'{e} Miguel and Ruiz-Rube, Iv\'{a}n",1
ACM,"Doore, Karen",1
