Variable,Count
Abstraction,112
Algorithm,351
Algorithmic thinking,80
Coding,171
Collaboration,62
Cooperation,19
Creativity,118
Critical thinking,67
Debug,33
Decomposition,77
Evaluation,213
Generalization,35
Logic,333
Logical thinking,20
Modularity,2
Patterns recognition,0
Problem solving,167
Programming,982
Representation,66
Reuse,9
Simulation,132
